Metric,Configuration,Seed 42,Seed 43,Seed 44,Mean ± SD,t(2),p
mAP50 (%),YOLO12 (raw),87.48,87.74,88.06,87.76 ± 0.29,,
mAP50 (%),YOLO12+ Zero-DCE + SAI + DWT,86.17,86.69,86.61,86.49 ± 0.28,,
mAP50 (%),P2-YOLO12 (raw),95.27,95.63,94.55,95.15 ± 0.55,,
mAP50 (%),P2-YOLO12 Full (Proposed),97.35,96.83,97.57,97.25 ± 0.38,,
mAP50-95 (%),YOLO12 (raw),66.13,65.54,65.67,65.78 ± 0.31,,
mAP50-95 (%),YOLO12+ Zero-DCE + SAI + DWT,66.16,65.24,66.12,65.84 ± 0.52,,
mAP50-95 (%),P2-YOLO12 (raw),70.75,69.79,70.66,70.40 ± 0.53,,
mAP50-95 (%),P2-YOLO12 Full (Proposed),72.33,72.27,70.95,71.85 ± 0.78,,
"Δ, mAP50",,+3.39,+2.25,+4.47,+3.37 ± 1.11,5.26,0.034
"Δ, mAP50-95",,+1.55,+2.78,-0.16,+1.39 ± 1.48,1.63,0.245
