dataset,image_path,mask_path,group_id,grouping_level,split
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0qkwl35piu0993l0dewei2.jpg,C:\VISKOM\kvasir-seg\masks\cju0qkwl35piu0993l0dewei2.jpg,KvasirSEG_cju0qkwl35piu0993l0dewei2,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0qoxqj9q6s0835b43399p4.jpg,C:\VISKOM\kvasir-seg\masks\cju0qoxqj9q6s0835b43399p4.jpg,KvasirSEG_cju0qoxqj9q6s0835b43399p4,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0qx73cjw570799j4n5cjze.jpg,C:\VISKOM\kvasir-seg\masks\cju0qx73cjw570799j4n5cjze.jpg,KvasirSEG_cju0qx73cjw570799j4n5cjze,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0roawvklrq0799vmjorwfv.jpg,C:\VISKOM\kvasir-seg\masks\cju0roawvklrq0799vmjorwfv.jpg,KvasirSEG_cju0roawvklrq0799vmjorwfv,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0rx1idathl0835detmsp84.jpg,C:\VISKOM\kvasir-seg\masks\cju0rx1idathl0835detmsp84.jpg,KvasirSEG_cju0rx1idathl0835detmsp84,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0s2a9ekvms080138tjjpxr.jpg,C:\VISKOM\kvasir-seg\masks\cju0s2a9ekvms080138tjjpxr.jpg,KvasirSEG_cju0s2a9ekvms080138tjjpxr,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0s690hkp960855tjuaqvv0.jpg,C:\VISKOM\kvasir-seg\masks\cju0s690hkp960855tjuaqvv0.jpg,KvasirSEG_cju0s690hkp960855tjuaqvv0,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0sr5ghl0nd08789uzf1raf.jpg,C:\VISKOM\kvasir-seg\masks\cju0sr5ghl0nd08789uzf1raf.jpg,KvasirSEG_cju0sr5ghl0nd08789uzf1raf,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0sxqiclckk08551ycbwhno.jpg,C:\VISKOM\kvasir-seg\masks\cju0sxqiclckk08551ycbwhno.jpg,KvasirSEG_cju0sxqiclckk08551ycbwhno,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0t4oil7vzk099370nun5h9.jpg,C:\VISKOM\kvasir-seg\masks\cju0t4oil7vzk099370nun5h9.jpg,KvasirSEG_cju0t4oil7vzk099370nun5h9,image,val
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0tl3uz8blh0993wxvn7ly3.jpg,C:\VISKOM\kvasir-seg\masks\cju0tl3uz8blh0993wxvn7ly3.jpg,KvasirSEG_cju0tl3uz8blh0993wxvn7ly3,image,test
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0u2g7pmnux0801vkk47ivj.jpg,C:\VISKOM\kvasir-seg\masks\cju0u2g7pmnux0801vkk47ivj.jpg,KvasirSEG_cju0u2g7pmnux0801vkk47ivj,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0u82z3cuma0835wlxrnrjv.jpg,C:\VISKOM\kvasir-seg\masks\cju0u82z3cuma0835wlxrnrjv.jpg,KvasirSEG_cju0u82z3cuma0835wlxrnrjv,image,train
Kvasir-SEG,C:\VISKOM\kvasir-seg\images\cju0ue769mxii08019zqgdbxn.jpg,C:\VISKOM\kvasir-seg\masks\cju0ue769mxii08019zqgdbxn.jpg,KvasirSEG_cju0ue769mxii08019zqgdbxn,image,train
