dataset,image,group_id,polyp_idx,xmin,ymin,xmax,ymax,img_h,img_w,seg_area_native,seg_area_640,bbox_area_640,rel_area_pct,size_coco,size_coco_native,size_clinical,diam_px_640
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/1.png,cvc_seq_1,0,40,155,263,279,288,384,16978,47161,77778,15.352,large,large,large,245.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/10.png,cvc_seq_1,0,40,13,133,266,288,384,18261,50725,66322,16.512,large,large,large,254.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/100.png,cvc_seq_5,0,68,102,173,188,288,384,7215,20042,25617,6.524,large,medium,medium,159.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/101.png,cvc_seq_5,0,165,140,276,237,288,384,7827,21742,30489,7.077,large,medium,medium,166.4
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/102.png,cvc_seq_5,0,166,123,273,221,288,384,7843,21786,29700,7.092,large,medium,medium,166.5
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/103.png,cvc_seq_5,0,123,95,242,195,288,384,9466,26294,33667,8.559,large,large,medium,183.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/104.png,cvc_seq_6,0,252,34,355,216,288,384,13263,36842,52867,11.993,large,large,large,216.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/105.png,cvc_seq_6,0,230,32,356,215,288,384,16259,45164,64911,14.702,large,large,large,239.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/106.png,cvc_seq_6,0,222,40,355,261,288,384,14437,40103,82633,13.054,large,large,large,226.0
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/107.png,cvc_seq_6,0,115,12,243,226,288,384,20798,57772,77042,18.806,large,large,large,271.2
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/108.png,cvc_seq_6,0,133,12,254,230,288,384,19789,54969,74217,17.894,large,large,large,264.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/109.png,cvc_seq_6,0,141,12,255,230,288,384,18187,50519,69958,16.445,large,large,large,253.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/11.png,cvc_seq_1,0,40,12,160,216,288,384,17619,48942,68903,15.932,large,large,large,249.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/110.png,cvc_seq_6,0,137,13,279,250,288,384,25371,70475,94539,22.941,large,large,large,299.6
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/111.png,cvc_seq_6,0,150,12,287,253,288,384,25628,71189,92767,23.173,large,large,large,301.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/112.png,cvc_seq_6,0,158,13,302,256,288,384,25744,71511,98278,23.278,large,large,large,301.7
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/113.png,cvc_seq_6,0,157,12,300,257,288,384,25929,72025,98400,23.446,large,large,large,302.8
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/114.png,cvc_seq_6,0,197,13,350,261,288,384,27007,75019,106517,24.42,large,large,large,309.1
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/115.png,cvc_seq_6,0,229,11,343,280,288,384,14861,41281,86250,13.438,large,large,large,229.3
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/116.png,cvc_seq_6,0,196,12,330,273,288,384,15701,43614,98250,14.197,large,large,large,235.7
