dataset,image,mask,group_id,n_polyp,has_polyp,img_h,img_w
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/1.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/1.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/10.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/10.png,cvc_seq_1,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/100.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/100.png,cvc_seq_5,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/101.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/101.png,cvc_seq_5,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/102.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/102.png,cvc_seq_5,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/103.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/103.png,cvc_seq_5,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/104.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/104.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/105.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/105.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/106.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/106.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/107.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/107.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/108.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/108.png,cvc_seq_6,1,1,288,384
CVC-ClinicDB,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/109.png,/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Ground Truth/109.png,cvc_seq_6,1,1,288,384
