image,dataset,group_id,split,has_polyp,n_small
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/1.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/10.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/100.png,CVC-ClinicDB,cvc_seq_5,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/101.png,CVC-ClinicDB,cvc_seq_5,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/102.png,CVC-ClinicDB,cvc_seq_5,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/103.png,CVC-ClinicDB,cvc_seq_5,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/104.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/105.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/106.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/107.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/108.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/109.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/11.png,CVC-ClinicDB,cvc_seq_1,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/110.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/111.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/112.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/113.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/114.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/115.png,CVC-ClinicDB,cvc_seq_6,train,1,0
/home/samsul/Documents/Polyp Detection/CVC-ClinicDB/PNG/Original/116.png,CVC-ClinicDB,cvc_seq_6,train,1,0
