Configuration,Precision (%),Recall (%),F1-Score (%),mAP50 (%),mAP50-95 (%)
YOLOv9 (raw),85.15,86.77,85.95,83.76,61.16
+ Zero-DCE,80.57,90.36,85.18,86.0,62.43
+ Zero-DCE + SAI,91.34,87.15,89.2,87.5,65.6
+ Zero-DCE + SAI + DWT,91.36,90.71,91.03,88.87,68.14
YOLOv10 (raw),90.23,88.88,89.55,89.01,68.0
+ Zero-DCE,80.47,83.09,81.76,77.99,61.07
+ Zero-DCE + SAI,70.92,81.04,75.64,77.28,59.44
+ Zero-DCE + SAI + DWT,79.06,91.01,84.62,88.41,65.18
YOLO11 (raw),80.52,84.3,82.37,83.55,64.24
+ Zero-DCE,89.98,88.57,89.27,90.6,68.73
+ Zero-DCE + SAI,83.81,87.05,85.4,82.74,60.65
+ Zero-DCE + SAI + DWT,73.35,87.96,79.99,81.56,58.62
YOLO12 (raw) (Baseline),80.29,92.23,85.85,87.76,65.78
+ Zero-DCE,92.2,92.84,92.52,93.08,69.02
+ SAI,93.84,89.49,91.61,91.55,67.98
+ DWT,82.34,87.05,84.63,86.55,65.48
+ Zero-DCE + SAI,97.2,91.32,94.17,90.47,71.18
+ Zero-DCE + DWT,80.97,90.71,85.56,87.16,62.3
+ SAI + DWT,89.06,89.49,89.27,88.62,67.88
+ Zero-DCE + SAI + DWT,83.97,88.88,86.36,86.49,65.84
P2-YOLO12 (raw),94.5,91.2,92.82,95.15,70.4
P2-YOLO12 + Zero-DCE + SAI + DWT (Proposed),95.8,93.15,94.46,97.25,71.85
