Configuration,AP_small (%),Recall_small (%),FN-Rate_small (%),AP_medium (%),AP_large (%),Total Negatives (Frames),Total FP (Boxes),FP/frame
YOLO12 (raw) (Baseline),35.12 ± 0.52,40.91 ± 4.55,59.09 ± 4.55,66.40 ± 0.65,76.20 ± 0.55,92,69,0.7500
+ Zero-DCE,36.45 ± 0.60,—,—,67.10 ± 0.58,76.45 ± 0.62,92,11,0.1196
+ SAI,37.50 ± 0.55,—,—,67.80 ± 0.60,76.80 ± 0.50,92,21,0.2283
+ DWT,36.90 ± 0.65,—,—,67.50 ± 0.62,76.60 ± 0.58,92,151,1.6413
+ Zero-DCE + SAI,39.10 ± 0.58,—,—,68.40 ± 0.55,76.95 ± 0.48,92,49,0.5326
+ Zero-DCE + DWT,38.80 ± 0.62,—,—,68.20 ± 0.60,76.85 ± 0.52,92,53,0.5761
+ SAI + DWT,39.50 ± 0.50,—,—,68.70 ± 0.54,77.00 ± 0.50,92,53,0.5761
+ Zero-DCE + SAI + DWT,42.15 ± 0.60,—,—,69.80 ± 0.58,77.10 ± 0.55,92,98,1.0652
P2-YOLO12 (raw),48.50 ± 0.65,—,—,67.10 ± 0.62,76.50 ± 0.58,92,34,0.3696
P2-YOLO12 + Zero-DCE,50.15 ± 0.60,—,—,68.25 ± 0.58,76.85 ± 0.55,92,25,0.2717
P2-YOLO12 + SAI,49.80 ± 0.55,—,—,68.60 ± 0.60,77.10 ± 0.52,92,22,0.2391
P2-YOLO12 + DWT,49.60 ± 0.68,—,—,68.45 ± 0.55,76.90 ± 0.50,92,28,0.3043
P2-YOLO12 + Zero-DCE + SAI,52.40 ± 0.52,—,—,70.15 ± 0.52,77.65 ± 0.48,92,12,0.1304
P2-YOLO12 + Zero-DCE + DWT,51.80 ± 0.65,—,—,69.85 ± 0.58,77.40 ± 0.52,92,15,0.1630
P2-YOLO12 + SAI + DWT,52.10 ± 0.58,—,—,70.40 ± 0.54,77.80 ± 0.49,92,10,0.1087
P2-YOLO12 + Zero-DCE + SAI + DWT (Proposed),55.40 ± 0.60,77.27 ± 4.55,22.73 ± 4.55,72.30 ± 0.55,78.50 ± 0.45,92,2,0.0217
